>>> Initializing clothing shape model...
>>> Star initialized.
>>> Get parameters list...
>>> Length of pose: 231
>>> Length of shape: 1
>>> Length of data: 231
self.base_body_list is 
['../../Data/base_body/pose_0153/subject_0000_params.json', '../../Data/base_body/pose_0079/subject_0000_params.json', '../../Data/base_body/pose_0133/subject_0000_params.json', '../../Data/base_body/pose_0206/subject_0000_params.json', '../../Data/base_body/pose_0023/subject_0000_params.json', '../../Data/base_body/pose_0144/subject_0000_params.json', '../../Data/base_body/pose_0202/subject_0000_params.json', '../../Data/base_body/pose_0191/subject_0000_params.json', '../../Data/base_body/pose_0222/subject_0000_params.json', '../../Data/base_body/pose_0041/subject_0000_params.json', '../../Data/base_body/pose_0109/subject_0000_params.json', '../../Data/base_body/pose_0168/subject_0000_params.json', '../../Data/base_body/pose_0224/subject_0000_params.json', '../../Data/base_body/pose_0215/subject_0000_params.json', '../../Data/base_body/pose_0143/subject_0000_params.json', '../../Data/base_body/pose_0227/subject_0000_params.json', '../../Data/base_body/pose_0062/subject_0000_params.json', '../../Data/base_body/pose_0016/subject_0000_params.json', '../../Data/base_body/pose_0054/subject_0000_params.json', '../../Data/base_body/pose_0204/subject_0000_params.json', '../../Data/base_body/pose_0162/subject_0000_params.json', '../../Data/base_body/pose_0130/subject_0000_params.json', '../../Data/base_body/pose_0134/subject_0000_params.json', '../../Data/base_body/pose_0066/subject_0000_params.json', '../../Data/base_body/pose_0212/subject_0000_params.json', '../../Data/base_body/pose_0157/subject_0000_params.json', '../../Data/base_body/pose_0028/subject_0000_params.json', '../../Data/base_body/pose_0189/subject_0000_params.json', '../../Data/base_body/pose_0029/subject_0000_params.json', '../../Data/base_body/pose_0000/subject_0000_params.json', '../../Data/base_body/pose_0158/subject_0000_params.json', '../../Data/base_body/pose_0177/subject_0000_params.json', '../../Data/base_body/pose_0164/subject_0000_params.json', '../../Data/base_body/pose_0119/subject_0000_params.json', '../../Data/base_body/pose_0190/subject_0000_params.json', '../../Data/base_body/pose_0076/subject_0000_params.json', '../../Data/base_body/pose_0086/subject_0000_params.json', '../../Data/base_body/pose_0207/subject_0000_params.json', '../../Data/base_body/pose_0040/subject_0000_params.json', '../../Data/base_body/pose_0084/subject_0000_params.json', '../../Data/base_body/pose_0220/subject_0000_params.json', '../../Data/base_body/pose_0159/subject_0000_params.json', '../../Data/base_body/pose_0179/subject_0000_params.json', '../../Data/base_body/pose_0030/subject_0000_params.json', '../../Data/base_body/pose_0007/subject_0000_params.json', '../../Data/base_body/pose_0200/subject_0000_params.json', '../../Data/base_body/pose_0141/subject_0000_params.json', '../../Data/base_body/pose_0138/subject_0000_params.json', '../../Data/base_body/pose_0203/subject_0000_params.json', '../../Data/base_body/pose_0176/subject_0000_params.json', '../../Data/base_body/pose_0165/subject_0000_params.json', '../../Data/base_body/pose_0052/subject_0000_params.json', '../../Data/base_body/pose_0090/subject_0000_params.json', '../../Data/base_body/pose_0001/subject_0000_params.json', '../../Data/base_body/pose_0063/subject_0000_params.json', '../../Data/base_body/pose_0122/subject_0000_params.json', '../../Data/base_body/pose_0194/subject_0000_params.json', '../../Data/base_body/pose_0132/subject_0000_params.json', '../../Data/base_body/pose_0099/subject_0000_params.json', '../../Data/base_body/pose_0147/subject_0000_params.json', '../../Data/base_body/pose_0142/subject_0000_params.json', '../../Data/base_body/pose_0014/subject_0000_params.json', '../../Data/base_body/pose_0137/subject_0000_params.json', '../../Data/base_body/pose_0107/subject_0000_params.json', '../../Data/base_body/pose_0201/subject_0000_params.json', '../../Data/base_body/pose_0195/subject_0000_params.json', '../../Data/base_body/pose_0015/subject_0000_params.json', '../../Data/base_body/pose_0002/subject_0000_params.json', '../../Data/base_body/pose_0020/subject_0000_params.json', '../../Data/base_body/pose_0003/subject_0000_params.json', '../../Data/base_body/pose_0211/subject_0000_params.json', '../../Data/base_body/pose_0102/subject_0000_params.json', '../../Data/base_body/pose_0231/subject_0000_params.json', '../../Data/base_body/pose_0019/subject_0000_params.json', '../../Data/base_body/pose_0217/subject_0000_params.json', '../../Data/base_body/pose_0175/subject_0000_params.json', '../../Data/base_body/pose_0181/subject_0000_params.json', '../../Data/base_body/pose_0043/subject_0000_params.json', '../../Data/base_body/pose_0106/subject_0000_params.json', '../../Data/base_body/pose_0139/subject_0000_params.json', '../../Data/base_body/pose_0101/subject_0000_params.json', '../../Data/base_body/pose_0128/subject_0000_params.json', '../../Data/base_body/pose_0053/subject_0000_params.json', '../../Data/base_body/pose_0115/subject_0000_params.json', '../../Data/base_body/pose_0193/subject_0000_params.json', '../../Data/base_body/pose_0111/subject_0000_params.json', '../../Data/base_body/pose_0123/subject_0000_params.json', '../../Data/base_body/pose_0117/subject_0000_params.json', '../../Data/base_body/pose_0089/subject_0000_params.json', '../../Data/base_body/pose_0182/subject_0000_params.json', '../../Data/base_body/pose_0108/subject_0000_params.json', '../../Data/base_body/pose_0073/subject_0000_params.json', '../../Data/base_body/pose_0056/subject_0000_params.json', '../../Data/base_body/pose_0226/subject_0000_params.json', '../../Data/base_body/pose_0037/subject_0000_params.json', '../../Data/base_body/pose_0218/subject_0000_params.json', '../../Data/base_body/pose_0088/subject_0000_params.json', '../../Data/base_body/pose_0009/subject_0000_params.json', '../../Data/base_body/pose_0196/subject_0000_params.json', '../../Data/base_body/pose_0083/subject_0000_params.json', '../../Data/base_body/pose_0100/subject_0000_params.json', '../../Data/base_body/pose_0039/subject_0000_params.json', '../../Data/base_body/pose_0032/subject_0000_params.json', '../../Data/base_body/pose_0024/subject_0000_params.json', '../../Data/base_body/pose_0209/subject_0000_params.json', '../../Data/base_body/pose_0171/subject_0000_params.json', '../../Data/base_body/pose_0044/subject_0000_params.json', '../../Data/base_body/pose_0184/subject_0000_params.json', '../../Data/base_body/pose_0098/subject_0000_params.json', '../../Data/base_body/pose_0091/subject_0000_params.json', '../../Data/base_body/pose_0049/subject_0000_params.json', '../../Data/base_body/pose_0047/subject_0000_params.json', '../../Data/base_body/pose_0048/subject_0000_params.json', '../../Data/base_body/pose_0036/subject_0000_params.json', '../../Data/base_body/pose_0081/subject_0000_params.json', '../../Data/base_body/pose_0183/subject_0000_params.json', '../../Data/base_body/pose_0146/subject_0000_params.json', '../../Data/base_body/pose_0077/subject_0000_params.json', '../../Data/base_body/pose_0124/subject_0000_params.json', '../../Data/base_body/pose_0150/subject_0000_params.json', '../../Data/base_body/pose_0125/subject_0000_params.json', '../../Data/base_body/pose_0092/subject_0000_params.json', '../../Data/base_body/pose_0093/subject_0000_params.json', '../../Data/base_body/pose_0121/subject_0000_params.json', '../../Data/base_body/pose_0033/subject_0000_params.json', '../../Data/base_body/pose_0027/subject_0000_params.json', '../../Data/base_body/pose_0149/subject_0000_params.json', '../../Data/base_body/pose_0061/subject_0000_params.json', '../../Data/base_body/pose_0205/subject_0000_params.json', '../../Data/base_body/pose_0155/subject_0000_params.json', '../../Data/base_body/pose_0095/subject_0000_params.json', '../../Data/base_body/pose_0116/subject_0000_params.json', '../../Data/base_body/pose_0004/subject_0000_params.json', '../../Data/base_body/pose_0145/subject_0000_params.json', '../../Data/base_body/pose_0192/subject_0000_params.json', '../../Data/base_body/pose_0174/subject_0000_params.json', '../../Data/base_body/pose_0064/subject_0000_params.json', '../../Data/base_body/pose_0018/subject_0000_params.json', '../../Data/base_body/pose_0186/subject_0000_params.json', '../../Data/base_body/pose_0229/subject_0000_params.json', '../../Data/base_body/pose_0110/subject_0000_params.json', '../../Data/base_body/pose_0120/subject_0000_params.json', '../../Data/base_body/pose_0017/subject_0000_params.json', '../../Data/base_body/pose_0148/subject_0000_params.json', '../../Data/base_body/pose_0008/subject_0000_params.json', '../../Data/base_body/pose_0225/subject_0000_params.json', '../../Data/base_body/pose_0057/subject_0000_params.json', '../../Data/base_body/pose_0058/subject_0000_params.json', '../../Data/base_body/pose_0067/subject_0000_params.json', '../../Data/base_body/pose_0131/subject_0000_params.json', '../../Data/base_body/pose_0012/subject_0000_params.json', '../../Data/base_body/pose_0161/subject_0000_params.json', '../../Data/base_body/pose_0087/subject_0000_params.json', '../../Data/base_body/pose_0129/subject_0000_params.json', '../../Data/base_body/pose_0223/subject_0000_params.json', '../../Data/base_body/pose_0210/subject_0000_params.json', '../../Data/base_body/pose_0096/subject_0000_params.json', '../../Data/base_body/pose_0060/subject_0000_params.json', '../../Data/base_body/pose_0082/subject_0000_params.json', '../../Data/base_body/pose_0104/subject_0000_params.json', '../../Data/base_body/pose_0185/subject_0000_params.json', '../../Data/base_body/pose_0180/subject_0000_params.json', '../../Data/base_body/pose_0127/subject_0000_params.json', '../../Data/base_body/pose_0188/subject_0000_params.json', '../../Data/base_body/pose_0050/subject_0000_params.json', '../../Data/base_body/pose_0046/subject_0000_params.json', '../../Data/base_body/pose_0187/subject_0000_params.json', '../../Data/base_body/pose_0065/subject_0000_params.json', '../../Data/base_body/pose_0197/subject_0000_params.json', '../../Data/base_body/pose_0071/subject_0000_params.json', '../../Data/base_body/pose_0011/subject_0000_params.json', '../../Data/base_body/pose_0069/subject_0000_params.json', '../../Data/base_body/pose_0072/subject_0000_params.json', '../../Data/base_body/pose_0213/subject_0000_params.json', '../../Data/base_body/pose_0094/subject_0000_params.json', '../../Data/base_body/pose_0156/subject_0000_params.json', '../../Data/base_body/pose_0230/subject_0000_params.json', '../../Data/base_body/pose_0034/subject_0000_params.json', '../../Data/base_body/pose_0022/subject_0000_params.json', '../../Data/base_body/pose_0103/subject_0000_params.json', '../../Data/base_body/pose_0005/subject_0000_params.json', '../../Data/base_body/pose_0167/subject_0000_params.json', '../../Data/base_body/pose_0232/subject_0000_params.json', '../../Data/base_body/pose_0170/subject_0000_params.json', '../../Data/base_body/pose_0068/subject_0000_params.json', '../../Data/base_body/pose_0214/subject_0000_params.json', '../../Data/base_body/pose_0055/subject_0000_params.json', '../../Data/base_body/pose_0075/subject_0000_params.json', '../../Data/base_body/pose_0140/subject_0000_params.json', '../../Data/base_body/pose_0045/subject_0000_params.json', '../../Data/base_body/pose_0221/subject_0000_params.json', '../../Data/base_body/pose_0013/subject_0000_params.json', '../../Data/base_body/pose_0154/subject_0000_params.json', '../../Data/base_body/pose_0114/subject_0000_params.json', '../../Data/base_body/pose_0070/subject_0000_params.json', '../../Data/base_body/pose_0198/subject_0000_params.json', '../../Data/base_body/pose_0216/subject_0000_params.json', '../../Data/base_body/pose_0097/subject_0000_params.json', '../../Data/base_body/pose_0126/subject_0000_params.json', '../../Data/base_body/pose_0152/subject_0000_params.json', '../../Data/base_body/pose_0112/subject_0000_params.json', '../../Data/base_body/pose_0078/subject_0000_params.json', '../../Data/base_body/pose_0025/subject_0000_params.json', '../../Data/base_body/pose_0151/subject_0000_params.json', '../../Data/base_body/pose_0026/subject_0000_params.json', '../../Data/base_body/pose_0080/subject_0000_params.json', '../../Data/base_body/pose_0105/subject_0000_params.json', '../../Data/base_body/pose_0035/subject_0000_params.json', '../../Data/base_body/pose_0118/subject_0000_params.json', '../../Data/base_body/pose_0136/subject_0000_params.json', '../../Data/base_body/pose_0208/subject_0000_params.json', '../../Data/base_body/pose_0085/subject_0000_params.json', '../../Data/base_body/pose_0006/subject_0000_params.json', '../../Data/base_body/pose_0173/subject_0000_params.json', '../../Data/base_body/pose_0166/subject_0000_params.json', '../../Data/base_body/pose_0113/subject_0000_params.json', '../../Data/base_body/pose_0163/subject_0000_params.json', '../../Data/base_body/pose_0059/subject_0000_params.json', '../../Data/base_body/pose_0051/subject_0000_params.json', '../../Data/base_body/pose_0135/subject_0000_params.json', '../../Data/base_body/pose_0228/subject_0000_params.json', '../../Data/base_body/pose_0038/subject_0000_params.json', '../../Data/base_body/pose_0199/subject_0000_params.json', '../../Data/base_body/pose_0169/subject_0000_params.json', '../../Data/base_body/pose_0160/subject_0000_params.json', '../../Data/base_body/pose_0021/subject_0000_params.json', '../../Data/base_body/pose_0178/subject_0000_params.json', '../../Data/base_body/pose_0042/subject_0000_params.json', '../../Data/base_body/pose_0074/subject_0000_params.json', '../../Data/base_body/pose_0172/subject_0000_params.json', '../../Data/base_body/pose_0031/subject_0000_params.json']
../../Data/base_body/pose_0153/subject_0000/clothWhite2/subject_0000_clothWhite2-scale10.obj

>>> 100/231 loading...
>>> 200/231 loading...
>>> MLP dimensions: [72, 4096, 4096, 4096, 4096, 5283].
>>> training MLP starts

training... 0100/500000: loss: 1566.679
training... 0200/500000: loss: 1430.853
training... 0300/500000: loss: 1373.525
training... 0400/500000: loss: 1124.468
training... 0500/500000: loss: 1030.094
training... 0600/500000: loss: 952.376
training... 0700/500000: loss: 842.203
training... 0800/500000: loss: 854.284
training... 0900/500000: loss: 742.186
training... 1000/500000: loss: 709.305
training... 1100/500000: loss: 704.310
training... 1200/500000: loss: 811.043
training... 1300/500000: loss: 690.376
training... 1400/500000: loss: 821.865
training... 1500/500000: loss: 591.943
training... 1600/500000: loss: 642.613
training... 1700/500000: loss: 679.748
training... 1800/500000: loss: 731.397
training... 1900/500000: loss: 595.565
training... 2000/500000: loss: 840.086
training... 2100/500000: loss: 517.064
training... 2200/500000: loss: 789.796
training... 2300/500000: loss: 596.238
training... 2400/500000: loss: 543.157
training... 2500/500000: loss: 485.035
training... 2600/500000: loss: 500.113
training... 2700/500000: loss: 540.642
training... 2800/500000: loss: 492.468
training... 2900/500000: loss: 673.171
training... 3000/500000: loss: 489.006
training... 3100/500000: loss: 552.766
training... 3200/500000: loss: 499.487
training... 3300/500000: loss: 504.982
training... 3400/500000: loss: 475.585
training... 3500/500000: loss: 762.972
training... 3600/500000: loss: 459.457
training... 3700/500000: loss: 468.712
training... 3800/500000: loss: 491.718
training... 3900/500000: loss: 421.863
training... 4000/500000: loss: 504.710
training... 4100/500000: loss: 466.144
training... 4200/500000: loss: 447.883
training... 4300/500000: loss: 434.424
training... 4400/500000: loss: 428.194
training... 4500/500000: loss: 466.441
training... 4600/500000: loss: 436.759
training... 4700/500000: loss: 408.390
training... 4800/500000: loss: 408.082
training... 4900/500000: loss: 442.392
training... 5000/500000: loss: 795.768
training... 5100/500000: loss: 413.275
training... 5200/500000: loss: 379.195
training... 5300/500000: loss: 384.878
training... 5400/500000: loss: 405.130
training... 5500/500000: loss: 389.370
training... 5600/500000: loss: 478.484
training... 5700/500000: loss: 533.990
training... 5800/500000: loss: 413.952
training... 5900/500000: loss: 388.943
training... 6000/500000: loss: 472.535
training... 6100/500000: loss: 580.579
training... 6200/500000: loss: 385.097
training... 6300/500000: loss: 400.755
training... 6400/500000: loss: 406.145
training... 6500/500000: loss: 494.889
training... 6600/500000: loss: 398.957
training... 6700/500000: loss: 433.040
training... 6800/500000: loss: 639.698
training... 6900/500000: loss: 606.009
training... 7000/500000: loss: 633.430
training... 7100/500000: loss: 405.040
training... 7200/500000: loss: 391.621
training... 7300/500000: loss: 396.880
training... 7400/500000: loss: 410.012
training... 7500/500000: loss: 390.570
training... 7600/500000: loss: 428.077
training... 7700/500000: loss: 356.908
training... 7800/500000: loss: 385.577
training... 7900/500000: loss: 384.735
training... 8000/500000: loss: 383.227
training... 8100/500000: loss: 356.592
training... 8200/500000: loss: 412.431
training... 8300/500000: loss: 422.847
training... 8400/500000: loss: 396.871
training... 8500/500000: loss: 367.170
training... 8600/500000: loss: 387.671
training... 8700/500000: loss: 385.074
training... 8800/500000: loss: 339.762
training... 8900/500000: loss: 376.913
training... 9000/500000: loss: 447.038
training... 9100/500000: loss: 435.942
training... 9200/500000: loss: 377.432
training... 9300/500000: loss: 498.249
training... 9400/500000: loss: 363.944
training... 9500/500000: loss: 554.031
training... 9600/500000: loss: 353.019
training... 9700/500000: loss: 380.772
training... 9800/500000: loss: 328.588
training... 9900/500000: loss: 371.221
training... 10000/500000: loss: 761.587
training... 10100/500000: loss: 462.834
training... 10200/500000: loss: 360.167
training... 10300/500000: loss: 387.166
training... 10400/500000: loss: 401.553
training... 10500/500000: loss: 410.659
training... 10600/500000: loss: 360.039
training... 10700/500000: loss: 356.984
training... 10800/500000: loss: 418.863
training... 10900/500000: loss: 646.812
training... 11000/500000: loss: 491.052
training... 11100/500000: loss: 368.437
training... 11200/500000: loss: 421.100
training... 11300/500000: loss: 341.637
training... 11400/500000: loss: 351.316
training... 11500/500000: loss: 333.848
training... 11600/500000: loss: 394.074
training... 11700/500000: loss: 429.114
training... 11800/500000: loss: 399.391
training... 11900/500000: loss: 351.380
training... 12000/500000: loss: 351.222
training... 12100/500000: loss: 371.346
training... 12200/500000: loss: 564.013
training... 12300/500000: loss: 352.422
training... 12400/500000: loss: 377.666
training... 12500/500000: loss: 437.643
training... 12600/500000: loss: 342.639
training... 12700/500000: loss: 345.466
training... 12800/500000: loss: 338.001
training... 12900/500000: loss: 333.633
training... 13000/500000: loss: 520.271
training... 13100/500000: loss: 359.320
training... 13200/500000: loss: 580.583
training... 13300/500000: loss: 363.233
training... 13400/500000: loss: 387.289
training... 13500/500000: loss: 368.149
training... 13600/500000: loss: 372.825
training... 13700/500000: loss: 518.179
training... 13800/500000: loss: 341.207
training... 13900/500000: loss: 456.620
training... 14000/500000: loss: 482.717
training... 14100/500000: loss: 385.173
training... 14200/500000: loss: 343.759
training... 14300/500000: loss: 381.551
training... 14400/500000: loss: 584.865
training... 14500/500000: loss: 403.569
training... 14600/500000: loss: 335.106
training... 14700/500000: loss: 375.278
training... 14800/500000: loss: 399.766
training... 14900/500000: loss: 412.765
training... 15000/500000: loss: 327.126
training... 15100/500000: loss: 329.938
training... 15200/500000: loss: 347.015
training... 15300/500000: loss: 305.001
training... 15400/500000: loss: 352.889
training... 15500/500000: loss: 362.460
training... 15600/500000: loss: 377.670
training... 15700/500000: loss: 347.424
training... 15800/500000: loss: 336.296
training... 15900/500000: loss: 336.572
training... 16000/500000: loss: 327.437
training... 16100/500000: loss: 319.038
training... 16200/500000: loss: 372.791
training... 16300/500000: loss: 337.965
training... 16400/500000: loss: 291.971
training... 16500/500000: loss: 304.087
training... 16600/500000: loss: 405.135
training... 16700/500000: loss: 437.422
training... 16800/500000: loss: 482.016
training... 16900/500000: loss: 356.310
training... 17000/500000: loss: 320.298
training... 17100/500000: loss: 302.109
training... 17200/500000: loss: 472.958
training... 17300/500000: loss: 294.618
training... 17400/500000: loss: 382.224
training... 17500/500000: loss: 301.607
training... 17600/500000: loss: 316.437
training... 17700/500000: loss: 405.404
training... 17800/500000: loss: 298.839
training... 17900/500000: loss: 315.653
training... 18000/500000: loss: 333.891
training... 18100/500000: loss: 315.927
training... 18200/500000: loss: 531.034
training... 18300/500000: loss: 301.260
training... 18400/500000: loss: 353.388
training... 18500/500000: loss: 344.797
training... 18600/500000: loss: 308.370
training... 18700/500000: loss: 284.073
training... 18800/500000: loss: 600.713
training... 18900/500000: loss: 347.947
training... 19000/500000: loss: 393.821
training... 19100/500000: loss: 266.118
training... 19200/500000: loss: 307.774
training... 19300/500000: loss: 293.339
training... 19400/500000: loss: 277.846
training... 19500/500000: loss: 354.722
training... 19600/500000: loss: 276.087
training... 19700/500000: loss: 322.490
training... 19800/500000: loss: 262.422
training... 19900/500000: loss: 312.703
training... 20000/500000: loss: 274.246
training... 20100/500000: loss: 346.861
training... 20200/500000: loss: 269.070
training... 20300/500000: loss: 286.384
training... 20400/500000: loss: 277.961
training... 20500/500000: loss: 265.108
training... 20600/500000: loss: 256.605
training... 20700/500000: loss: 259.412
training... 20800/500000: loss: 254.984
training... 20900/500000: loss: 337.181
training... 21000/500000: loss: 280.516
training... 21100/500000: loss: 314.935
training... 21200/500000: loss: 309.323
training... 21300/500000: loss: 265.123
training... 21400/500000: loss: 270.703
training... 21500/500000: loss: 228.733
training... 21600/500000: loss: 267.770
training... 21700/500000: loss: 240.343
training... 21800/500000: loss: 220.609
training... 21900/500000: loss: 237.089
training... 22000/500000: loss: 233.330
training... 22100/500000: loss: 221.035
training... 22200/500000: loss: 220.833
training... 22300/500000: loss: 252.277
training... 22400/500000: loss: 237.123
training... 22500/500000: loss: 220.710
training... 22600/500000: loss: 252.706
training... 22700/500000: loss: 226.389
training... 22800/500000: loss: 227.673
training... 22900/500000: loss: 202.993
training... 23000/500000: loss: 227.270
training... 23100/500000: loss: 246.044
training... 23200/500000: loss: 231.174
training... 23300/500000: loss: 233.009
training... 23400/500000: loss: 222.373
training... 23500/500000: loss: 227.488
training... 23600/500000: loss: 221.853
training... 23700/500000: loss: 230.856
training... 23800/500000: loss: 228.191
training... 23900/500000: loss: 240.796
training... 24000/500000: loss: 237.768
training... 24100/500000: loss: 211.913
training... 24200/500000: loss: 222.234
training... 24300/500000: loss: 198.368
training... 24400/500000: loss: 215.882
training... 24500/500000: loss: 219.183
training... 24600/500000: loss: 208.725
training... 24700/500000: loss: 214.855
training... 24800/500000: loss: 221.792
training... 24900/500000: loss: 230.470
training... 25000/500000: loss: 218.059
training... 25100/500000: loss: 218.635
training... 25200/500000: loss: 217.580
training... 25300/500000: loss: 215.432
training... 25400/500000: loss: 215.147
training... 25500/500000: loss: 226.650
training... 25600/500000: loss: 213.137
training... 25700/500000: loss: 224.984
training... 25800/500000: loss: 223.662
training... 25900/500000: loss: 218.556
training... 26000/500000: loss: 216.914
training... 26100/500000: loss: 208.323
training... 26200/500000: loss: 202.674
training... 26300/500000: loss: 210.830
training... 26400/500000: loss: 211.509
training... 26500/500000: loss: 210.953
training... 26600/500000: loss: 211.995
training... 26700/500000: loss: 212.163
training... 26800/500000: loss: 197.326
training... 26900/500000: loss: 219.638
training... 27000/500000: loss: 210.672
training... 27100/500000: loss: 210.489
training... 27200/500000: loss: 222.978
training... 27300/500000: loss: 212.139
training... 27400/500000: loss: 219.199
training... 27500/500000: loss: 221.286
training... 27600/500000: loss: 217.997
training... 27700/500000: loss: 207.552
training... 27800/500000: loss: 220.867
training... 27900/500000: loss: 206.737
training... 28000/500000: loss: 193.918
training... 28100/500000: loss: 202.826
training... 28200/500000: loss: 219.789
training... 28300/500000: loss: 220.256
training... 28400/500000: loss: 214.435
training... 28500/500000: loss: 203.556
training... 28600/500000: loss: 212.656
training... 28700/500000: loss: 197.416
training... 28800/500000: loss: 205.297
training... 28900/500000: loss: 224.099
training... 29000/500000: loss: 224.428
training... 29100/500000: loss: 198.952
training... 29200/500000: loss: 210.732
training... 29300/500000: loss: 228.330
training... 29400/500000: loss: 204.313
training... 29500/500000: loss: 205.731
training... 29600/500000: loss: 203.238
training... 29700/500000: loss: 211.502
training... 29800/500000: loss: 212.401
training... 29900/500000: loss: 230.719
training... 30000/500000: loss: 203.682
training... 30100/500000: loss: 202.768
training... 30200/500000: loss: 229.536
training... 30300/500000: loss: 232.756
training... 30400/500000: loss: 207.218
training... 30500/500000: loss: 211.045
training... 30600/500000: loss: 203.988
training... 30700/500000: loss: 254.018
training... 30800/500000: loss: 219.151
training... 30900/500000: loss: 207.664
training... 31000/500000: loss: 202.327
training... 31100/500000: loss: 219.804
training... 31200/500000: loss: 201.073
training... 31300/500000: loss: 185.289
training... 31400/500000: loss: 208.274
training... 31500/500000: loss: 201.677
training... 31600/500000: loss: 212.891
training... 31700/500000: loss: 212.059
training... 31800/500000: loss: 205.221
training... 31900/500000: loss: 202.240
training... 32000/500000: loss: 193.303
training... 32100/500000: loss: 209.564
training... 32200/500000: loss: 212.648
training... 32300/500000: loss: 203.795
training... 32400/500000: loss: 209.125
training... 32500/500000: loss: 197.952
training... 32600/500000: loss: 189.544
training... 32700/500000: loss: 200.072
training... 32800/500000: loss: 190.915
training... 32900/500000: loss: 189.795
training... 33000/500000: loss: 218.116
training... 33100/500000: loss: 193.768
training... 33200/500000: loss: 198.813
training... 33300/500000: loss: 210.455
training... 33400/500000: loss: 209.256
training... 33500/500000: loss: 201.108
training... 33600/500000: loss: 205.133
training... 33700/500000: loss: 202.813
training... 33800/500000: loss: 218.319
training... 33900/500000: loss: 222.155
training... 34000/500000: loss: 202.833
training... 34100/500000: loss: 199.421
training... 34200/500000: loss: 182.166
training... 34300/500000: loss: 198.294
training... 34400/500000: loss: 208.675
training... 34500/500000: loss: 203.512
training... 34600/500000: loss: 199.229
training... 34700/500000: loss: 188.787
training... 34800/500000: loss: 194.502
training... 34900/500000: loss: 195.391
training... 35000/500000: loss: 185.601
training... 35100/500000: loss: 190.876
training... 35200/500000: loss: 199.711
training... 35300/500000: loss: 190.021
training... 35400/500000: loss: 202.962
training... 35500/500000: loss: 219.840
training... 35600/500000: loss: 189.293
training... 35700/500000: loss: 215.774
training... 35800/500000: loss: 193.024
training... 35900/500000: loss: 207.256
training... 36000/500000: loss: 188.524
training... 36100/500000: loss: 199.037
training... 36200/500000: loss: 189.779
training... 36300/500000: loss: 184.140
training... 36400/500000: loss: 222.792
training... 36500/500000: loss: 193.783
training... 36600/500000: loss: 181.675
training... 36700/500000: loss: 198.562
training... 36800/500000: loss: 197.555
training... 36900/500000: loss: 189.120
training... 37000/500000: loss: 223.597
training... 37100/500000: loss: 186.732
training... 37200/500000: loss: 203.218
training... 37300/500000: loss: 203.259
training... 37400/500000: loss: 191.637
training... 37500/500000: loss: 206.656
training... 37600/500000: loss: 186.161
training... 37700/500000: loss: 194.170
training... 37800/500000: loss: 202.598
training... 37900/500000: loss: 191.018
training... 38000/500000: loss: 190.822
